Section ,Age,Diet,Section,Treatment,ratio
OC2A,Old,Control,DC,Antibiotic,0.098129364
OC2A,Old,Control,DUO,Antibiotic,NA
OC2A,Old,Control,ILE,Antibiotic,NA
OC2A,Old,Control,JEJ,Antibiotic,NA
OC2A,Old,Control,PC,Antibiotic,NA
OC3A,Old,Control,DC,Antibiotic,0.06044016
OC3A,Old,Control,DUO,Antibiotic,NA
OC3A,Old,Control,ILE,Antibiotic,NA
OC3A,Old,Control,JEJ,Antibiotic,NA
OC3A,Old,Control,PC,Antibiotic,NA
OC4A,Old,Control,DC,Antibiotic,0.256172188
OC4A,Old,Control,DUO,Antibiotic,NA
OC4A,Old,Control,ILE,Antibiotic,NA
OC4A,Old,Control,JEJ,Antibiotic,NA
OC4A,Old,Control,PC,Antibiotic,NA
OC5A,Old,Control,DC,Antibiotic,0.13495645
OC5A,Old,Control,DUO,Antibiotic,0.014665623
OC5A,Old,Control,ILE,Antibiotic,0.078508875
OC5A,Old,Control,JEJ,Antibiotic,0.010994935
OC5A,Old,Control,PC,Antibiotic,NA
OC6A,Old,Control,DC,Antibiotic,0.132501291
OC6A,Old,Control,DUO,Antibiotic,0.00963808
OC6A,Old,Control,ILE,Antibiotic,0.021559285
OC6A,Old,Control,JEJ,Antibiotic,0.008150181
OC6A,Old,Control,PC,Antibiotic,0.23907935
OG2A,Old,GOS,DC,Antibiotic,0.152234437
OG2A,Old,GOS,DUO,Antibiotic,NA
OG2A,Old,GOS,ILE,Antibiotic,NA
OG2A,Old,GOS,JEJ,Antibiotic,NA
OG2A,Old,GOS,PC,Antibiotic,NA
OG4A,Old,GOS,DC,Antibiotic,0.096846881
OG4A,Old,GOS,DUO,Antibiotic,NA
OG4A,Old,GOS,ILE,Antibiotic,NA
OG4A,Old,GOS,JEJ,Antibiotic,NA
OG4A,Old,GOS,PC,Antibiotic,NA
OG5A,Old,GOS,DC,Antibiotic,0.180658459
OG5A,Old,GOS,DUO,Antibiotic,0.007474848
OG5A,Old,GOS,ILE,Antibiotic,0.193209274
OG5A,Old,GOS,JEJ,Antibiotic,0.008823206
OG5A,Old,GOS,PC,Antibiotic,0.118111894
OG6A,Old,GOS,DC,Antibiotic,0.137401992
OG6A,Old,GOS,DUO,Antibiotic,0.009626502
OG6A,Old,GOS,ILE,Antibiotic,0.035039717
OG6A,Old,GOS,JEJ,Antibiotic,0.009981626
OG6A,Old,GOS,PC,Antibiotic,0.192252178
OG7A,Old,GOS,DC,Antibiotic,0.203079265
OG7A,Old,GOS,DUO,Antibiotic,0.012518799
OG7A,Old,GOS,ILE,Antibiotic,0.024671164
OG7A,Old,GOS,JEJ,Antibiotic,0.006736573
OG7A,Old,GOS,PC,Antibiotic,0.129741349
OH3A,Old,hGOS,DC,Antibiotic,0.181866354
OH3A,Old,hGOS,DUO,Antibiotic,NA
OH3A,Old,hGOS,ILE,Antibiotic,NA
OH3A,Old,hGOS,JEJ,Antibiotic,NA
OH3A,Old,hGOS,PC,Antibiotic,NA
OH4A,Old,hGOS,DC,Antibiotic,0.06557085
OH4A,Old,hGOS,DUO,Antibiotic,NA
OH4A,Old,hGOS,ILE,Antibiotic,NA
OH4A,Old,hGOS,JEJ,Antibiotic,NA
OH4A,Old,hGOS,PC,Antibiotic,NA
OH7A,Old,hGOS,DC,Antibiotic,0.191497792
OH7A,Old,hGOS,DUO,Antibiotic,0.006185279
OH7A,Old,hGOS,ILE,Antibiotic,0.00907407
OH7A,Old,hGOS,JEJ,Antibiotic,0.007826334
OH7A,Old,hGOS,PC,Antibiotic,0.103928731
YC1A,Young,Control,DC,Antibiotic,0.205424187
YC1A,Young,Control,DUO,Antibiotic,NA
YC1A,Young,Control,ILE,Antibiotic,NA
YC1A,Young,Control,JEJ,Antibiotic,NA
YC1A,Young,Control,PC,Antibiotic,NA
YC2A,Young,Control,DC,Antibiotic,0.138575822
YC2A,Young,Control,DUO,Antibiotic,NA
YC2A,Young,Control,ILE,Antibiotic,NA
YC2A,Young,Control,JEJ,Antibiotic,NA
YC2A,Young,Control,PC,Antibiotic,NA
YC3A,Young,Control,DC,Antibiotic,0.238951465
YC3A,Young,Control,DUO,Antibiotic,NA
YC3A,Young,Control,ILE,Antibiotic,NA
YC3A,Young,Control,JEJ,Antibiotic,NA
YC3A,Young,Control,PC,Antibiotic,NA
YC4A,Young,Control,DC,Antibiotic,0.218658461
YC4A,Young,Control,DUO,Antibiotic,NA
YC4A,Young,Control,ILE,Antibiotic,NA
YC4A,Young,Control,JEJ,Antibiotic,NA
YC4A,Young,Control,PC,Antibiotic,NA
YC7A,Young,Control,DUO,Antibiotic,0.007131516
YC7A,Young,Control,ILE,Antibiotic,0.065844178
YC7A,Young,Control,JEJ,Antibiotic,0.008356159
YC7A,Young,Control,PC,Antibiotic,0.191384084
YC7A,Young,Control,DC,Antibiotic,
YG1A,Young,GOS,DC,Antibiotic,0.140568479
YG1A,Young,GOS,DUO,Antibiotic,
YG1A,Young,GOS,ILE,Antibiotic,
YG1A,Young,GOS,JEJ,Antibiotic,
YG1A,Young,GOS,PC,Antibiotic,
YG3A,Young,GOS,DC,Antibiotic,0.190289139
YG3A,Young,GOS,DUO,Antibiotic,
YG3A,Young,GOS,ILE,Antibiotic,
YG3A,Young,GOS,JEJ,Antibiotic,
YG3A,Young,GOS,PC,Antibiotic,
YG4A,Young,GOS,DC,Antibiotic,0.140874136
YG4A,Young,GOS,DUO,Antibiotic,
YG4A,Young,GOS,ILE,Antibiotic,
YG4A,Young,GOS,JEJ,Antibiotic,
YG4A,Young,GOS,PC,Antibiotic,
YG7A,Young,GOS,DC,Antibiotic,0.26568225
YG7A,Young,GOS,DUO,Antibiotic,0.017322771
YG7A,Young,GOS,ILE,Antibiotic,0.09217155
YG7A,Young,GOS,JEJ,Antibiotic,0.014146161
YG7A,Young,GOS,PC,Antibiotic,0.222170415
YH3A,Young,hGOS,DC,Antibiotic,0.156283145
YH3A,Young,hGOS,DUO,Antibiotic,
YH3A,Young,hGOS,ILE,Antibiotic,
YH3A,Young,hGOS,JEJ,Antibiotic,NA
YH3A,Young,hGOS,PC,Antibiotic,NA
YH7A,Young,hGOS,DC,Antibiotic,0.280625743
YH7A,Young,hGOS,DUO,Antibiotic,0.030513244
YH7A,Young,hGOS,ILE,Antibiotic,0.044995523
YH7A,Young,hGOS,JEJ,Antibiotic,0.016832285
YH7A,Young,hGOS,PC,Antibiotic,0.229519142
OC1C,Old,Control,DC,Control,0.101727476
OC2C,Old,Control,DC,Control,0.165645057
OC5C,Old,Control,DC,Control,0.395275877
OC6C,Old,Control,DC,Control,0.108618079
OC6C,Old,Control,DUO,Control,0.009932686
OC6C,Old,Control,ILE,Control,0.035141715
OC6C,Old,Control,JEJ,Control,0.032029161
OC6C,Old,Control,PC,Control,0.134268977
OC7C,Old,Control,DC,Control,0.198717834
OC7C,Old,Control,DUO,Control,0.013989357
OC7C,Old,Control,ILE,Control,0.027870154
OC7C,Old,Control,JEJ,Control,0.018423961
OC7C,Old,Control,PC,Control,0.094453509
OG1C,Old,GOS,DC,Control,0.142667397
OG2C,Old,GOS,DC,Control,0.177861593
OG3C,Old,GOS,DC,Control,0.127699698
OG4C,Old,GOS,DC,Control,0.082474106
OG5C,Old,GOS,DC,Control,0.61323034
OG6C,Old,GOS,DC,Control,0.109413738
OG6C,Old,GOS,DUO,Control,0.008814178
OG6C,Old,GOS,ILE,Control,0.030506223
OG6C,Old,GOS,JEJ,Control,0.035195413
OG6C,Old,GOS,PC,Control,0.120254636
OG7C,Old,GOS,DC,Control,0.250598292
OG7C,Old,GOS,DUO,Control,0.009770015
OG7C,Old,GOS,ILE,Control,0.225047453
OG7C,Old,GOS,JEJ,Control,0.099563835
OG7C,Old,GOS,PC,Control,0.276635769
OH1C,Old,hGOS,DC,Control,0.121554072
OH2C,Old,hGOS,DC,Control,0.147690131
OH3C,Old,hGOS,DC,Control,0.152845506
OH5C,Old,hGOS,DC,Control,0.122571483
OH5C,Old,hGOS,DUO,Control,0.010650402
OH5C,Old,hGOS,ILE,Control,0.022317693
OH5C,Old,hGOS,JEJ,Control,0.006868709
OH5C,Old,hGOS,PC,Control,0.130553652
OH6C,Old,hGOS,DC,Control,0.296284317
OH6C,Old,hGOS,DUO,Control,0.009817876
OH6C,Old,hGOS,ILE,Control,0.109100592
OH6C,Old,hGOS,JEJ,Control,0.015341136
OH7C,Old,hGOS,DC,Control,0.217312892
OH7C,Old,hGOS,DUO,Control,0.007157913
OH7C,Old,hGOS,JEJ,Control,0.010633636
OH7C,Old,hGOS,PC,Control,0.198204752
YC1C,Young,Control,DC,Control,0.216963803
YC3C,Young,Control,DC,Control,0.281233061
YC4C,Young,Control,DC,Control,0.225582283
